,,,,,,,,
,,,,,,,,
place,title,name,type,latitude,longitude,code,enclosed_by,date
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
person,firstname,surname,callname,prefix,suffix,title,gender,source,note,birthdate,birthplace,birthplaceid,birthsource,baptismdate,baptismplace,baptismplaceid,baptismsouce,deathdate,deathplace,deathplaceid,deathsource
[P05008d37-8031-420d],Unknown,,,,,,masculine,"Black, J.A. et al.",No primary source was found to confirm this.,,,,,,,,,,,,
[Pf8b7111f-fd8d-493e],Unknown,,,,,,masculine,"Black, J.A. et al.",No primary source was found to confirm this.,,,,,,,,,,,,
[P4ecf3b0f-d34c-4884],Ku-ul-...,,,,,,masculine,"Black, J.A. et al.",No primary source was found to confirm this.,,,,,,,,,,,,
[P20baf2db-6a9c-4554],Peli,,,,,,masculine,"Hinz, W.",No primary source was found to confirm this.,,,,,,,,,,,,
[P8087e65f-e442-4784],Tata,,,,,,masculine,"Hinz, W.",No primary source was found to confirm this.,,,,,,,,,,,,
[Pcfb1655e-65ad-4821],Ukkutahesh,,,,,,masculine,"Hinz, W.",No primary source was found to confirm this.,,,,,,,,,,,,
[Pb2e0b459-e439-4533],Hishur,,,,,,masculine,"Hinz, W.",No primary source was found to confirm this.,,,,,,,,,,,,
[P7452c796-d658-4642],Shushuntarana,,,,,,masculine,"Hinz, W.",No primary source was found to confirm this.,,,,,,,,,,,,
[Pa2548644-6b18-493b],Napilhush,,,,,,masculine,"Hinz, W.",No primary source was found to confirm this.,,,,,,,,,,,,
[P73ad0d2f-e6c9-487e],Kikku-siwe-tempt,,,,,,masculine,"Hinz, W.",No primary source was found to confirm this.,,,,,,,,,,,,
[Pb1e8eb4d-05bc-40cf],Luhishshan,,,,,,male,The British Museum,According to Primary Sources.,,,,,,,,,,,,
[Paa73d28f-e97e-48d3],Unknown,,,,,,,,,,,,,,,,,,,,
[P9d6a3967-ad7e-496c],Hishep-ratep,,,,,,masculine,"Potts, D. T.",According to Primary Sources.,,,,,,,,,,,,
[P2cf9c194-8d97-4f26],Helu,,,,,,masculine,"Hinz, W.",No primary source was found to confirm this.,,,,,,,,,,,,
[P4e963166-3bcf-47fa],Hita,,,,,,masculine,"Hinz, W.",No primary source was found to confirm this.,,,,,,,,,,,,
[P3429c826-6041-47b2],Kutik-Inshushinak,,,,,,masculine,"Hinz, W.",According to Primary Sources.,,,,,,,,,,,,
,,,,,,,
,,,,,,,
marriage," parent1"," parent2"," date"," place"," placeID"," source"," note"
[Fbabdd6d0-d6ea-4a7a]," [Pb1e8eb4d-05bc-40cf]"," [Paa73d28f-e97e-48d3]",,,,"Potts, D. T.",No primary source was found to confirm this.
,,,,
,,,,
family," child"," source"," note"," gender"
[Fbabdd6d0-d6ea-4a7a]," [P9d6a3967-ad7e-496c]","Potts, D. T.",No primary source was found to confirm this.,
