,,,,,,,,
,,,,,,,,
place,title,name,type,latitude,longitude,code,enclosed_by,date
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
person,firstname,surname,callname,prefix,suffix,title,gender,source,note,birthdate,birthplace,birthplaceid,birthsource,baptismdate,baptismplace,baptismplaceid,baptismsouce,deathdate,deathplace,deathplaceid,deathsource
[P05008d37-8031-420d],Desconhecido,,,,,,masculino,"Black, J.A. et al.",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[Pf8b7111f-fd8d-493e],Desconhecido,,,,,,masculino,"Black, J.A. et al.",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[P4ecf3b0f-d34c-4884],Ku-ul-...,,,,,,masculino,"Black, J.A. et al.",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[P20baf2db-6a9c-4554],Peli,,,,,,masculino,"Hinz, W.",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[P8087e65f-e442-4784],Tata,,,,,,masculino,"Hinz, W.",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[Pcfb1655e-65ad-4821],Ukkutahesh,,,,,,masculino,"Hinz, W.",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[Pb2e0b459-e439-4533],Hishur,,,,,,masculino,"Hinz, W.",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[P7452c796-d658-4642],Shushuntarana,,,,,,masculino,"Hinz, W.",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[Pa2548644-6b18-493b],Napilhush,,,,,,masculino,"Hinz, W.",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[P73ad0d2f-e6c9-487e],Kikku-siwe-tempt,,,,,,masculino,"Hinz, W.",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[Pb1e8eb4d-05bc-40cf],Luhishshan,,,,,,masculino,The British Museum,Confirmado por fontes primárias.,,,,,,,,,,,,
[Paa73d28f-e97e-48d3],Desconhecida,,,,,,,,,,,,,,,,,,,,
[P9d6a3967-ad7e-496c],Hishep-ratep,,,,,,masculino,"Potts, D. T.",Confirmado por fontes primárias.,,,,,,,,,,,,
[P2cf9c194-8d97-4f26],Helu,,,,,,masculino,"Hinz, W.",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[P4e963166-3bcf-47fa],Hita,,,,,,masculino,"Hinz, W.",Não foram encontradas fontes primárias.,,,,,,,,,,,,
[P3429c826-6041-47b2],Kutik-Inshushinak,,,,,,masculino,"Hinz, W.",Confirmado por fontes primárias.,,,,,,,,,,,,
,,,,,,,
,,,,,,,
marriage," parent1"," parent2"," date"," place"," placeID"," source"," note"
[Fbabdd6d0-d6ea-4a7a]," [Pb1e8eb4d-05bc-40cf]"," [Paa73d28f-e97e-48d3]",,,,"Potts, D. T.",Não foram encontradas fontes primárias.
,,,,
,,,,
family," child"," source"," note"," gender"
[Fbabdd6d0-d6ea-4a7a]," [P9d6a3967-ad7e-496c]","Potts, D. T.",Não foram encontradas fontes primárias.,
