,,,,,,,,
,,,,,,,,
place,title,name,type,latitude,longitude,code,enclosed_by,date
[L74f1dc3e-8b18-46e3],Tudela,Tudela,City,,,789,
[Lad968203-d4d6-454c],Zaragoza,Zaragoza,City,,,"Apr 27, 875",
[L4ba64989-bee8-432c],China (Zhongguo 中國),China (Zhongguo 中國),Country,,,541,
[L87cf1d96-a0db-4cbd],Chang'an,Chang'an,City,,,566,[L4ba64989-bee8-432c]
[L1fa313d2-52b2-4260],T,T,State,,,598,[L4ba64989-bee8-432c]
[Lc01d1600-e239-4465],Lizhou,Lizhou,State,,,624,[L4ba64989-bee8-432c]
[L93817fed-0f02-415c],Mutapa,Mutapa,Country,,,1624,
[L05338c17-be7a-47fd],Brasil,Brasil,Country,,,1560,
[L566b86ae-b6e0-4b8e],São Paulo,São Paulo,State,,,1560,[L05338c17-be7a-47fd]
[Le35b04c3-6cba-4011],León,León,Country,,,999,
[L0bb6a72e-871b-4d17],Honduras,Honduras,Country,,,437,
[5f164ab9-430e-484f-88a5-ec014b16b515],Copán,Copán,City,,,437,[L0bb6a72e-871b-4d17]
[Lbb27b339-a666-4cb3],São Paulo,São Paulo,City,,,1627,[L05338c17-be7a-47fd]
[L4b235323-b0a1-440e],Tawantinsuyu,Tawantinsuyu,Country,,,1529,
[L4f881183-05a3-47b3],Brazil,Brazil,Country,,,"Sep 21, 1815",
[Lc2c97a07-3bb9-4909],Minas Gerais,Minas Gerais,State,,,"Sep 21, 1815",[L4f881183-05a3-47b3]
[L835d3554-b1df-4430],Cachoeira do Campo,Cachoeira do Campo,City,,,"Sep 21, 1815",[Lc2c97a07-3bb9-4909]
[Lf77ae628-fc20-4f73],Paraiba,Paraiba,State,,,"Mar 7, 1730",[L05338c17-be7a-47fd]
[L4af4242b-237b-4636],Rio de Janeiro,Rio de Janeiro,State,,,"Sep 9, 1705",[L05338c17-be7a-47fd]
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
person,firstname,surname,callname,prefix,suffix,title,gender,source,note,birthdate,birthplace,birthplaceid,birthsource,baptismdate,baptismplace,baptismplaceid,baptismsouce,deathdate,deathplace,deathplaceid,deathsource
[Pd6fd3be9-e1aa-420d],Unknown,,,,,,female,"Tattersall, I., & Schwartz, J. H.",According to Primary Sources.,,,,,,,,,,,,
[P0c814db4-2f44-494a],Unknown,,,,,,,,,,,,,,,,,,,,
[P252d0294-cf82-4d12],Unknown,,,,,,female,"Tattersall, I., & Schwartz, J. H.",According to Primary Sources.,,,,,,,,,,,,
[Pf804eea1-2b82-4be6],Unknown,,,,,,,,,,,,,,,,,,,,
[P67f50dd8-70b3-41b3],Unknown,,,,,,female,"Hitchcock, Don",According to Primary Sources.,,,,,,,,,,,,
[Pfd7197b3-dccc-4265],Unknown,,,,,,,,,,,,,,,,,,,,
[P43a030d3-5c21-4a49],Unknown,,,,,,feminino,"Blaxland, Beth",According to Primary Sources.,,,,,,,,,,,,
[P8629260b-458e-44b8],Unknown,,,,,,,,,,,,,,,,,,,,
[P4a6e38a1-34c6-4ce7],Unknown,,,,,,female,"Dorey, Fran",According to Primary Sources.,,,,,,,,,,,,
[Pc480c765-e878-4cf1],Unknown,,,,,,,,,,,,,,,,,,,,
[Pbba9b264-807c-4c81],Unknown,,,,,,female,"Tattersall, I., & Schwartz, J. H.",According to Primary Sources.,,,,,,,,,,,,
[Pa440690e-79a5-4128],Unknown,,,,,,,,,,,,,,,,,,,,
[Pd3e46abe-e7c7-48ac],Unknown,,,,,,female,"Dorey, Fran",According to Primary Sources.,,,,,,,,,,,,
[P50aad5d5-70b0-4881],Unknown,,,,,,,,,,,,,,,,,,,,
[Pfd7b36a2-0824-4ae8],Unknown,,,,,,female,"Lari, M. et al.",According to Primary Sources.,,,,,,,,,,,,
[Pe59e362a-f86f-4d21],Unknown,,,,,,,,,,,,,,,,,,,,
[P38202bf1-654c-44e4],Unknown,,,,,,female,"Qin, P., & Stoneking, M.",According to Primary Sources.,,,,,,,,,,,,
[P1db74bf2-b866-4a59],Unknown,,,,,,,,,,,,,,,,,,,,
[P24985297-a662-4e77],Unknown,,,,,,female,"van den Bergh, G. D. et al",According to Primary Sources.,,,,,,,,,,,,
[Pa8aa5c34-83cd-4619],Unknown,,,,,,,,,,,,,,,,,,,,
[Pa4a8e568-726e-4773],Unknown,,,,,,female,"Starikovskaya, Elena B. et al.",According to Primary Sources.,,,,,,,,,,,,
[P2a23a38d-040a-40b6],Unknown,,,,,,,,,,,,,,,,,,,,
[Pa158bdc5-2d0c-452c],Unknown,,,,,,,"Hitchcock, Don",No primary source was found to confirm this.,,,,,,,,,,,,
[P386661a0-63f2-46a8],Unknown,,,,,,,"Hitchcock, Don",No primary source was found to confirm this.,,,,,,,,,,,,
[P45653287-2524-4f37],Unknown,,,,,,,"Hitchcock, Don",No primary source was found to confirm this.,,,,,,,,,,,,
[P25ca0559-8c83-4e3d],Unknown,,,,,,,"Blaxland, Beth",No primary source was found to confirm this.,,,,,,,,,,,,
[P9f28c6d7-a16d-4efb],Unknown,,,,,,,"Dorey, Fran",No primary source was found to confirm this.,,,,,,,,,,,,
